scenario,users,instances,requests,failures,failure_rate,avg_response_time,p95
high,300,1,1965,0,0.0,2400.9108916732785,5600
high,650,1,4511,0,0.0,2188.495196616047,4500
high,1000,1,5787,247,0.04268187316398825,2599.201562512188,4200
high,300,2,2287,0,0.0,2091.58359459554,3700
high,650,2,4591,0,0.0,2183.8274300074045,4100
high,1000,2,5636,325,0.05766501064584812,2632.636881434169,4200
high,300,3,2355,0,0.0,2024.6482473694252,3100
high,650,3,4441,0,0.0,2238.979870204003,4700
high,1000,3,6114,120,0.019627085377821395,2571.430733945376,4100
hybrid,300,1,5214,0,0.0,1094.9267273026453,2700
hybrid,650,1,6873,0,0.0,2067.8268884267486,5100
hybrid,1000,1,7857,0,0.0,2611.491390526789,4400
hybrid,300,2,5581,0,0.0,905.6716557391194,2100
hybrid,650,2,5244,0,0.0,2629.955587076472,7800
hybrid,1000,2,8101,0,0.0,2691.7559179079035,5400
hybrid,300,3,4919,0,0.0,1191.6605140343574,2900
hybrid,650,3,7330,0,0.0,1876.72035358664,3500
hybrid,1000,3,6481,0,0.0,2911.8703665880253,5100
low,300,1,5330,0,0.0,87.06985357954923,450
low,650,1,9962,0,0.0,193.2637433906847,1200
low,1000,1,15013,0,0.0,175.4674018033694,1200
low,300,2,5376,0,0.0,68.06575230970945,320
low,650,2,9865,0,0.0,203.56245932093196,1300
low,1000,2,14634,0,0.0,199.32334083046436,1500
low,300,3,5343,0,0.0,52.00539186898723,150
low,650,3,11060,0,0.0,110.70163413535224,560
low,1000,3,13331,0,0.0,295.3034112017866,2500
medium,300,1,3470,0,0.0,834.6565966711796,1700
medium,650,1,3272,0,0.0,2462.789125,3528
medium,1000,1,3342,0,0.0,4481.89026390156,6300
medium,300,2,3140,0,0.0,1209.0079451901315,3100
medium,650,2,3286,0,0.0,2412.174885,4060
medium,1000,2,2799,0,0.0,5171.459833792411,7200
medium,300,3,3186,0,0.0,1059.9319195841144,1800
medium,650,3,2929,0,0.0,2977.497599,4556
medium,1000,3,3226,0,0.0,4213.739846190644,5400
