Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1777916824,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1777916825,750,,Aggregated,0.000000,0.000000,750,770,780,820,850,860,880,890,890,890,890,184,184,750,732.0557309892098,543.3091619997867,889.7085889984737,5.771739130434782
1777916826,750,,Aggregated,0.000000,0.000000,850,1200,1400,1500,1700,1800,1900,1900,1900,1900,1900,418,240,850,1074.4014580239955,543.3091619997867,1926.520167999115,177792.16507177035
1777916828,750,,Aggregated,0.000000,0.000000,1200,1600,1900,2000,2200,2300,2300,2300,2300,2300,2300,559,247,1200,1322.2290077191676,1.319067996519152,2323.0250809974677,233029.51341681575
1777916829,750,,Aggregated,139.333333,80.000000,1300,2000,2200,2300,3600,3800,3800,3800,3900,3900,3900,838,368,1300,1571.5904454164986,1.1233660006837454,3866.947467002319,234187.15274463006
1777916830,750,,Aggregated,139.750000,61.750000,1600,2200,3000,3500,3700,3800,4000,4100,4300,4300,4300,952,368,1600,1781.6315894516815,1.1233660006837454,4267.784624000342,256138.60084033615
1777916831,750,,Aggregated,167.000000,73.600000,1700,2700,2900,3100,3700,3800,4000,4100,4200,4300,4300,1125,426,1700,1804.1850603484297,1.1233660006837454,4267.784624000342,259437.18133333334
1777916832,750,,Aggregated,154.000000,61.333333,1800,2800,3100,3600,4000,4200,4400,4400,4500,4700,4700,1398,559,1800,1881.2196622904075,1.0161890022573061,4659.486983000534,250599.1974248927
1777916833,750,,Aggregated,159.428571,59.571429,2200,3100,3500,3600,4000,4200,4400,4400,4500,4700,4700,1573,559,2200,2061.803227976481,1.0161890022573061,4659.486983000534,269167.4208518754
1777916834,750,,Aggregated,162.750000,69.875000,2100,3100,3500,3600,3800,4200,4300,4400,4500,4700,4700,1722,660,2100,1977.2612484546953,1.0161890022573061,4659.486983000534,257524.61846689894
1777916835,750,,Aggregated,167.111111,62.111111,2200,3300,3500,3700,4300,4600,4800,4900,5000,5000,5000,1964,741,2200,2103.807242804481,1.0161890022573061,5045.534535001934,260024.33706720977
