Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,extract_links_cnn,205,0,5,367.6143408439579,1.8625009997776942,9887.315968000621,22165.043902439025,2.3091258562498522,0.0,5,6,7,7,16,470,7800,8300,9900,9900,9900
GET,extract_links_gov_ia,205,0,6,56.00768258536402,1.8676479994610418,1244.2546989987022,26870.024390243903,2.3091258562498522,0.0,6,7,7,8,9,320,1100,1200,1200,1200,1200
GET,extract_links_gov_noticias,204,0,6,60.95938615684574,2.023988001383259,1473.7323680001282,35208.02450980392,2.29786182768278,0.0,6,7,7,8,9,440,1100,1100,1500,1500,1500
GET,extract_links_michael_jackson,205,0,7,232.82738924870324,2.902807000282337,7938.50711900086,191182.03414634147,2.3091258562498522,0.0,7,8,9,9,11,550,4700,6000,7900,7900,7900
GET,extract_links_mozilla_css,205,0,6,87.12719696567348,2.400936000412912,2142.0636089987966,112272.0243902439,2.3091258562498522,0.0,6,7,8,8,12,390,1700,2100,2100,2100,2100
GET,extract_links_nextjs_docs,205,0,5,87.59959221942842,1.8392750007478753,2135.7900069997413,30372.024390243903,2.3091258562498522,0.0,5,6,7,7,9,440,2000,2100,2100,2100,2100
GET,extract_links_taylor_swift,205,0,7,372.1443837658781,3.3118139999714913,9089.77972699904,218059.04390243904,2.3091258562498522,0.0,7,8,9,9,11,540,7600,9000,9100,9100,9100
GET,extract_links_unifor_cc,205,0,6,254.15597110743587,2.190532000895473,9241.897812000389,62557.034146341466,2.3091258562498522,0.0,6,7,8,8,12,480,6100,6500,9200,9200,9200
GET,extract_links_unifor_medicina,205,0,5,460.2356525707231,2.49600300048769,10828.856105999876,108778.0487804878,2.3091258562498522,0.0,5,7,8,8,10,380,9500,9700,11000,11000,11000
GET,extract_links_uol,205,0,6,58.557376912198734,2.027876000283868,2131.1183920006442,43639.0243902439,2.3091258562498522,0.0,6,7,7,8,11,370,980,1100,2100,2100,2100
,Aggregated,2049,0,6,203.79257196240403,1.8392750007478753,10828.856105999876,85134.58711566617,23.07999453393145,0.0,6,7,8,8,11,450,4200,7800,9900,11000,11000
