Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1778613771,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1778613772,50,,Aggregated,0.000000,0.000000,580,580,600,600,890,890,890,890,890,890,890,6,0,530,556.2769745001788,316.49258799916424,891.5219160007837,35240.0
1778613773,50,,Aggregated,0.000000,0.000000,1100,1200,1200,1200,1700,2000,2000,2000,2000,2000,2000,17,0,1100,1019.0210494705859,316.49258799916424,1969.8368129993469,39485.05882352941
1778613774,50,,Aggregated,0.000000,0.000000,1200,1700,2000,2100,2100,2100,2100,2100,2100,2100,2100,27,0,1200,1277.3615014073719,61.31466400074714,2142.0636089987966,48605.148148148146
1778613775,50,,Aggregated,7.000000,0.000000,1100,1700,2000,2100,2100,2100,4000,4000,4000,4000,4000,32,0,1100,1281.6363655937835,61.31466400074714,3954.005772999153,53906.65625
1778613776,50,,Aggregated,8.333333,0.000000,1100,1700,2100,2100,2100,4200,4700,4700,4700,4700,4700,36,0,1100,1444.9687120000413,61.31466400074714,4686.959022999872,60128.36111111111
1778613777,50,,Aggregated,7.000000,0.000000,1200,2000,2100,2100,4200,5000,5800,5800,5800,5800,5800,42,0,1200,1739.6894684047982,61.31466400074714,5824.217815001248,63619.97619047619
1778613778,50,,Aggregated,6.600000,0.000000,1400,2100,2100,4200,6000,6500,6700,6700,6700,6700,6700,55,0,1400,2199.3346733819303,61.31466400074714,6749.654268000086,72529.38181818182
1778613779,50,,Aggregated,6.500000,0.000000,1400,2100,4200,5100,6700,7500,7700,7800,7800,7800,7800,64,0,1400,2552.4146631563553,61.31466400074714,7750.400961998821,75042.421875
1778613780,50,,Aggregated,6.285714,0.000000,1300,2100,4000,5000,6700,7700,8300,8500,8500,8500,8500,76,0,1200,2462.212950329007,61.31466400074714,8461.011432000305,77599.17105263157
1778613781,50,,Aggregated,6.875000,0.000000,1200,2000,4200,6000,7700,9300,9700,9900,9900,9900,9900,99,0,1200,2577.0339501011003,61.31466400074714,9887.315968000621,80362.59595959596
1778613782,50,,Aggregated,7.333333,0.000000,1100,2000,4000,5800,7700,9000,9600,9700,9900,9900,9900,111,0,1100,2466.685416036114,45.804299999872455,9887.315968000621,83029.2072072072
1778613783,50,,Aggregated,8.000000,0.000000,980,1500,2100,5800,7800,9000,9600,9700,9900,9900,9900,132,0,970,2364.695671295602,45.804299999872455,9887.315968000621,81355.24242424243
1778613784,50,,Aggregated,10.300000,0.000000,820,1400,2100,6000,7900,9000,9600,9700,9900,9900,9900,149,0,820,2336.5758684430916,36.49275499992655,9887.315968000621,84486.34228187919
