Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,extract_links_cnn,44,2,42000,37000.13112865922,9821.69343500027,61700.09450300131,20933.227272727272,0.49352687903286097,0.022433039956039135,43000,49000,53000,55000,57000,60000,62000,62000,62000,62000,62000
GET,extract_links_gov_ia,53,2,32000,27223.281873415,1012.8173789998982,54876.639489999434,25857.0,0.5944755588350371,0.022433039956039135,32000,37000,43000,43000,46000,50000,53000,55000,55000,55000,55000
GET,extract_links_gov_noticias,49,1,32000,26130.122893428543,2043.3213029991748,60960.0092010005,34490.448979591834,0.5496094789229589,0.011216519978019568,32000,34000,38000,39000,44000,46000,61000,61000,61000,61000,61000
GET,extract_links_michael_jackson,46,4,48000,39568.91157269562,10518.782547998853,79806.70327200096,174558.39130434784,0.5159599189889001,0.04486607991207827,48000,52000,53000,55000,58000,60000,80000,80000,80000,80000,80000
GET,extract_links_mozilla_css,48,1,37000,31376.046552000083,4905.216719998862,60959.52391600076,109933.97916666667,0.5383929589449392,0.011216519978019568,37000,43000,47000,48000,49000,51000,61000,61000,61000,61000,61000
GET,extract_links_nextjs_docs,44,0,38000,31143.40619131806,5042.115385998841,55954.64073800031,30373.0,0.49352687903286097,0.0,38000,45000,48000,48000,50000,52000,56000,56000,56000,56000,56000
GET,extract_links_taylor_swift,43,1,51000,46396.26014916279,18733.641898001224,72083.98874700106,212988.83720930232,0.48231035905484143,0.011216519978019568,51000,54000,58000,58000,60000,61000,72000,72000,72000,72000,72000
GET,extract_links_unifor_cc,42,3,45000,43527.02908661905,17720.15071900023,65846.36207599942,58089.57142857143,0.47109383907682184,0.0336495599340587,46000,51000,56000,57000,59000,61000,66000,66000,66000,66000,66000
GET,extract_links_unifor_medicina,44,6,49000,48897.35563013636,14535.73567300009,88080.81250400028,93945.5,0.49352687903286097,0.0672991198681174,51000,58000,62000,63000,66000,67000,88000,88000,88000,88000,88000
GET,extract_links_uol,51,1,37000,28274.43508103912,1110.506371000156,58602.414737999425,42803.92156862745,0.5720425188789979,0.011216519978019568,37000,41000,46000,47000,49000,51000,57000,59000,59000,59000,59000
,Aggregated,464,21,38000,35483.62072176507,1012.8173789998982,88080.81250400028,78748.55172413793,5.204465269801079,0.23554691953841092,39000,46000,49000,51000,57000,61000,65000,67000,88000,88000,88000
