Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,extract_links_cnn,436,0,4,109.65486483483392,1.474057000450557,4335.335469999336,22216.02752293578,4.862437275605216,0.0,4,5,5,6,8,21,3000,3900,4300,4300,4300
GET,extract_links_gov_ia,435,0,3,29.942812340240557,1.5401079999719514,934.9361660006252,26871.02298850575,4.851284896532727,0.0,3,5,6,6,8,37,700,910,930,930,930
GET,extract_links_gov_noticias,434,0,4,28.063024645146676,1.6505799994774861,1370.2407119999407,35209.02073732719,4.840132517460238,0.0,4,5,5,6,7,11,650,770,1400,1400,1400
GET,extract_links_michael_jackson,436,0,6,95.78506848627663,2.8192119989398634,4299.711030000253,163598.0252293578,4.862437275605216,0.0,6,7,8,8,10,48,2700,3200,4300,4300,4300
GET,extract_links_mozilla_css,434,0,5,45.656502200451506,2.29718800073897,1940.390939000281,112269.02073732718,4.840132517460238,0.0,5,6,6,7,8,15,1200,1400,1900,1900,1900
GET,extract_links_nextjs_docs,435,0,3,47.292547558616455,1.638244000787381,1764.8684520008828,30369.02298850575,4.851284896532727,0.0,3,4,5,6,7,14,1500,1600,1800,1800,1800
GET,extract_links_taylor_swift,435,0,6,97.8424582413957,3.208932001143694,4325.477311000213,200006.02298850575,4.851284896532727,0.0,6,7,8,9,11,43,3000,3900,4300,4300,4300
GET,extract_links_unifor_cc,434,0,4,141.61785704841077,1.8189749989687698,5185.021495999536,61918.032258064515,4.840132517460238,0.0,4,5,6,6,7,11,4400,5000,5200,5200,5200
GET,extract_links_unifor_medicina,436,0,4,198.24486674545977,2.2695620009471895,6483.2015030006005,108569.03899082569,4.862437275605216,0.0,4,6,7,7,9,56,5500,6100,6500,6500,6500
GET,extract_links_uol,437,0,4,47.02361193135746,1.694525999482721,1872.0391259994358,42010.025171624715,4.873589654677705,0.0,4,5,6,7,9,14,1300,1800,1900,1900,1900
,Aggregated,4352,0,4,84.13859529964074,1.474057000450557,6483.2015030006005,80305.45611213235,48.53515372347225,0.0,4,5,6,7,9,16,1400,3200,6100,6500,6500
