Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1778613003,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1778613004,150,,Aggregated,0.000000,0.000000,830,850,850,860,920,960,960,960,960,960,960,14,0,790,757.8950454999358,493.9005129999714,959.7151979996852,31514.928571428572
1778613005,150,,Aggregated,0.000000,0.000000,1000,1100,1200,1300,1700,1700,2000,2000,2000,2000,2000,39,0,1000,1057.7752599744995,493.9005129999714,1971.8423200010875,46925.307692307695
1778613006,150,,Aggregated,0.000000,0.000000,1200,1500,2000,2000,2300,2400,2500,3000,3000,3000,3000,67,0,1200,1378.8777285522856,493.9005129999714,2979.3157080002857,51125.77611940299
1778613007,150,,Aggregated,10.000000,0.000000,1200,1700,2100,2200,3000,3500,3800,3900,3900,3900,3900,80,0,1200,1574.8680805374988,493.9005129999714,3889.024101999894,59631.2125
1778613008,150,,Aggregated,14.000000,0.000000,1400,2000,2200,2400,3500,4000,4800,5000,5000,5000,5000,95,0,1400,1789.3609567157816,493.9005129999714,4974.155926000094,64577.01052631579
1778613009,150,,Aggregated,17.250000,0.000000,1700,2300,3000,3800,5100,5700,5800,5800,5800,5800,5800,111,0,1700,2267.065334072089,493.9005129999714,5846.578348999174,70700.94594594595
1778613010,150,,Aggregated,16.600000,0.000000,2100,3300,4300,5100,5800,6300,6800,6900,7000,7000,7000,137,0,2100,2775.286873306583,493.9005129999714,6977.270543999111,69398.94160583941
1778613011,150,,Aggregated,16.000000,0.000000,2100,3500,5000,5400,6100,6800,7000,7200,7300,7300,7300,153,0,2100,2953.8471426993387,493.9005129999714,7304.629295000268,71058.46405228759
1778613012,150,,Aggregated,16.428571,0.000000,2200,3800,5100,5700,6300,6900,7200,8100,8900,8900,8900,175,0,2200,3112.5800600171783,493.9005129999714,8949.48279900018,70693.62285714285
1778613013,150,,Aggregated,17.125000,0.000000,2400,4000,5400,5800,6800,7200,9400,9700,9800,9800,9800,190,0,2300,3339.7070788789756,493.9005129999714,9845.86929499892,72547.13157894737
1778613014,150,,Aggregated,17.333333,0.000000,2400,4200,5700,6000,6900,8900,9600,9800,10000,10000,10000,212,0,2400,3532.087757325533,493.9005129999714,10284.130829000787,71811.64622641509
1778613015,150,,Aggregated,17.500000,0.000000,2500,4300,5800,6200,7200,9000,9800,10000,10000,10000,10000,230,0,2500,3648.2835218000646,493.9005129999714,10284.130829000787,73113.55652173913
1778613016,150,,Aggregated,19.300000,0.000000,2600,4600,5800,6300,7200,9100,10000,10000,12000,12000,12000,252,0,2600,3751.6641603690914,493.9005129999714,12022.515618000398,72702.96428571429
1778613017,150,,Aggregated,19.200000,0.000000,2900,5100,6100,6600,8200,9400,10000,11000,12000,12000,12000,272,0,2800,3889.1643743125383,493.9005129999714,12022.515618000398,74184.0330882353
1778613018,150,,Aggregated,19.000000,0.000000,3000,5300,6200,6600,8300,9400,11000,11000,12000,12000,12000,291,0,3000,3988.1778265636235,493.9005129999714,12022.515618000398,75205.29209621993
1778613019,150,,Aggregated,18.400000,0.000000,3000,5500,6300,6700,8300,9600,11000,11000,12000,12000,12000,311,0,3000,4031.7076949325265,493.9005129999714,12022.515618000398,75483.1768488746
1778613020,150,,Aggregated,18.900000,0.000000,3200,5600,6300,6800,8300,9600,11000,11000,12000,12000,12000,332,0,3200,4115.11050677717,493.9005129999714,12022.515618000398,75573.06626506025
1778613021,150,,Aggregated,19.600000,0.000000,3300,5700,6500,6800,8300,9800,11000,11000,12000,12000,12000,348,0,3300,4192.061886356379,493.9005129999714,12022.515618000398,76773.71551724138
1778613022,150,,Aggregated,19.700000,0.000000,3300,5800,6500,6900,8400,10000,11000,11000,12000,12000,12000,369,0,3300,4241.427627344234,493.9005129999714,12022.515618000398,75910.31707317074
1778613023,150,,Aggregated,19.500000,0.000000,3500,5800,6500,6900,8300,10000,11000,11000,12000,12000,12000,390,0,3500,4276.536857418018,493.9005129999714,12022.515618000398,76226.58461538462
1778613024,150,,Aggregated,19.200000,0.000000,3500,5800,6600,7000,8300,10000,11000,11000,12000,12000,12000,411,0,3500,4343.111900189862,493.9005129999714,12022.515618000398,76556.52311435524
1778613025,150,,Aggregated,19.500000,0.000000,3500,5800,6600,7000,8300,10000,11000,11000,12000,12000,12000,433,0,3500,4360.296398861504,493.9005129999714,12022.515618000398,76415.74133949191
1778613026,150,,Aggregated,19.700000,0.000000,3600,5900,6600,7100,8300,10000,11000,11000,12000,12000,12000,447,0,3600,4392.103261183513,493.9005129999714,12022.515618000398,77236.19686800895
1778613028,150,,Aggregated,20.000000,0.000000,3600,5800,6600,7200,8400,10000,11000,11000,12000,12000,12000,465,0,3600,4427.525195428016,493.9005129999714,12022.515618000398,77767.56774193549
1778613029,150,,Aggregated,19.400000,0.000000,3700,5900,6700,7200,8400,10000,11000,11000,12000,12000,12000,490,0,3700,4470.408956024538,493.9005129999714,12022.515618000398,77623.16530612245
1778613030,150,,Aggregated,19.400000,0.000000,3700,5900,6700,7200,8500,10000,11000,11000,12000,12000,12000,510,0,3700,4488.876416141212,493.9005129999714,12022.515618000398,77038.89019607843
1778613031,150,,Aggregated,19.300000,0.000000,3700,5900,6800,7200,8400,10000,11000,11000,12000,12000,12000,534,0,3700,4511.144840273443,493.9005129999714,12022.515618000398,77275.84644194756
1778613032,150,,Aggregated,19.700000,0.000000,3700,5900,6800,7200,8300,10000,11000,11000,12000,12000,12000,552,0,3700,4507.930085777194,493.9005129999714,12022.515618000398,77421.69746376811
1778613033,150,,Aggregated,19.800000,0.000000,3700,5900,6800,7200,8300,10000,11000,11000,12000,12000,12000,575,0,3700,4520.762705372196,493.9005129999714,12022.515618000398,77635.87304347826
1778613034,150,,Aggregated,20.200000,0.000000,3700,5900,6800,7200,8300,10000,11000,11000,12000,12000,12000,593,0,3700,4529.9854349022135,493.9005129999714,12022.515618000398,77904.06576728499
1778613035,150,,Aggregated,20.400000,0.000000,3700,6000,6800,7200,8300,10000,11000,11000,12000,12000,12000,614,0,3700,4549.280376882755,493.9005129999714,12022.515618000398,78338.57980456026
1778613036,150,,Aggregated,20.500000,0.000000,3700,6000,6800,7200,8400,10000,11000,11000,12000,12000,12000,633,0,3700,4558.017270494486,493.9005129999714,12022.515618000398,78071.19273301738
1778613037,150,,Aggregated,20.300000,0.000000,3700,6000,6800,7200,8300,10000,11000,11000,12000,12000,12000,653,0,3700,4576.234452297108,493.9005129999714,12022.515618000398,78250.35375191424
